タイトル,話の概要,シチュエーション,学べるPM知識／用語
「締切りの魔法」,無理な納期を押し付けられた新人PMの田中は「できません」と言えず苦しんでいた。「三角制約」について学び、スコープと納期のトレードオフを顧客に提案。結果、顧客が本当に必要な機能だけを選び、プロジェクトは成功する。,経営層から無理な納期を設定された状況で、単純に「できません」と言うのではなく、トレードオフの選択肢を提示する,プロジェクトの三角制約（スコープ・品質・時間のトレードオフ）
「見えないリスクを掘り起こせ」,「そんなことは起きない」と却下したリスク項目が現実になり炎上するプロジェクト。PMの佐藤はこの失敗から学び、次回は「起きないと思うけど、もしも...」という視点でリスク洗い出しを徹底する。,プロジェクトの計画段階でチームがリスクを過小評価し、後に大きな問題として表面化する状況,プレモータム分析
「沈黙の代償」,週次報告で問題が報告されず順調に見えたプロジェクトが突然炎上。PMの鈴木は「なぜ報告しなかった？」と問うと「言いづらかった」と回答。心理的安全性の重要さに気づき、チーム文化を変革する。,チームメンバーが問題を報告できない雰囲気があり、小さな問題が大きくなるまで表面化しない状況,心理的安全性
「ステークホルダーの地図」,複雑なプロジェクトで関係者が多すぎて混乱するPMの山田。ステークホルダー分析を行い、影響力と関心度でマッピング。キーパーソンを特定しコミュニケーション戦略を練り直したところ、意思決定がスムーズになった。,多部署・多人数が関わる大規模プロジェクトで、誰を優先して巻き込むべきか悩む状況,ステークホルダーマッピング
「変更という名の嵐」,開発終盤で次々と追加される仕様変更。「お客様の言うことは絶対」と全て受け入れようとした木村のプロジェクトは破綻寸前に。変更管理プロセスを確立したところ、本当に必要な変更だけが残った。,顧客からの際限ない変更要求に振り回されるプロジェクト終盤の状況,変更管理プロセス
「データで語れ」,経営層への報告で感覚的な説明をして撃沈した新人PMの高橋。PREP法と「データで語る」重要性を学び、客観的データに基づく説明で経営層の承認を得ることに成功する。,経営層や重要なステークホルダーに対してプロジェクトの状況や必要性を説明する会議の場面,PREP法
「バッファの秘密」,いつも納期ギリギリになるPMの中村。バッファを隠して乗り切った後、次のプロジェクトでは「明示的なバッファ」をチームと共有し、リスク対応に使う方法を採用して成功する。,予期せぬ問題が発生してスケジュールが常に遅延するプロジェクトでの対応方法,クリティカルチェーン法
「見積もりの罠」,「3日で終わります」という見積もりが2週間かかり炎上。PMの伊藤はPlanning Pokerを導入し、実装以外の作業も可視化。チーム全体で見積もるプロセスを確立したところ、予測精度が格段に向上した。,エンジニアの見積もりを鵜呑みにして顧客に約束してしまい、大幅に遅延する状況,Planning Poker
「SWOTの眼鏡」,新規プロジェクトの立ち上げで迷走するPMの加藤。SWOTで強み・弱み・機会・脅威を分析し、自社の強みを活かした戦略を立案。不確実性の高い領域は小さく始めて検証するアプローチで成功する。,新規事業や新技術導入など不確実性の高いプロジェクトの方向性を決める場面,SWOT分析
「チームの成長曲線」,新チームを任された小林がタックマンモデルを学び、各段階に合わせたマネジメントを実践。初めは混乱したチームも、徐々に一体感が生まれ高パフォーマンスチームへと成長する。,異なる部署や背景を持つメンバーで新たにチームを組成し、チームワークを構築していく過程,タックマンモデル
「ブレストの流儀」,アイデアが出ず行き詰まったプロジェクト会議。PMの田村がブレインストーミングのルールを徹底し「批判禁止・自由奔放・量を重視・アイデア結合」を促進。結果、革新的な解決策が生まれる。,プロジェクトで技術的な課題に直面し、従来の方法では解決できない状況,ブレインストーミング
「ハードの地図」,複雑なシステム連携で全体像が見えず混乱するチーム。PMの鈴木がマインドマッピングでシステム関係を視覚化。これにより盲点が発見され、設計の大幅な改善につながる。,複雑な要素が絡み合うシステム設計や問題分析の場面,マインドマッピング
「発想の引き出し」,マンネリ化した提案内容に悩むPMの西山。SCAMPER法を使い「代替・結合・適応・修正・他用途・除去・逆転」の視点で既存アイデアを変換。結果、クライアントを魅了する革新的提案が完成。,顧客に対する企画提案で差別化要素を出せず苦戦している状況,SCAMPER法
「偶然の発明」,全く異なる業界の手法をソフトウェア開発に応用し成功したPMの大山。強制連想法を活用して、一見関係ないものを組み合わせる発想法をチームに広め、イノベーションを促進する。,従来の方法論だけでは解決できない複雑な問題に直面したプロジェクト,強制連想法
「逆転の発想」,行き詰まったプロジェクトでPMの木下が「失敗するには何をすべきか」という逆転思考を試みる。「最悪の結果」を想定することで隠れたリスクが明確になり、プロジェクト軌道修正につながる。,プロジェクトが思うように進まず、従来のアプローチでは解決できない状況,逆転思考法
「六つの帽子」,意見対立で紛糾する重要会議。PMの中村がシックスシンキングハットを導入し、全員が同じ「帽子」（視点）で考える手法を実践。多角的な検討が可能になり、バランスの取れた意思決定に成功する。,異なる部署の利害が対立し、建設的な議論ができない会議の場面,シックスシンキングハット
